Question,Category
Differentiate Qualitative data and Quantitative data. Give suitable examples.,Analyze
 Give five (05) characteristics of quality information,Remember
State three (03) main roles of ICT in society.,Remember
Identify four (04) fields that use ICT applications and provide two (02) application example for each field.,Understand 
Explain different generations of computer? State major changes of following characteristics in each generation.,Analyze
What are the three (03) types of programming translators? Explain them briefly.,Understand
"What does it mean by office productivity application? Give two examples for main three (03) types of productivity application, with their productivity suite name.",Apply
Differentiate vector and raster graphic images used in computer graphics.,Analyze
What does it mean by remote access application? Give two (02) popular examples of such application.,Understand 
What is computer chipset? Briefly explain the function of main two (02) parts of computer chipset,Understand
Briefly explain the booting process of a computer initiated by BIOS,Understand
Identify the following components of motherboard labeled by the English letters.,Remember
What are the three (03) different voltages used in a computer system. Name three (03) parts of motherboard power connectors available in ATX Type power supply.,Remember
 What does it mean by file system in computers? Compare and contrast FAT32 and NTFS file systems.,Analyze
"Differentiate primary partition, extended partition and logical drives.",Analyze
Briefly explain the following utilities of a computer system.,Understand
 Define each of the following terms.,Remember
" List down the main characteristic, of the database approach and explain in brief.",Understand
A database approach addresses many problems and challenges associated with the traditional file-based approach. Using a DBMS to control how data is shared with different applications and user has a number of advantages. ,Understand 
Describe the role of database management systems (DBMS) in the database approach and discuss why knowledge of DBMS is important for database administrators.,Apply
 List down five (05) advantages of traditional two-tier client-server architecture.,Remember
 write brief notes on three (03) types of Multi-user DBMS Architectures.,Understand
Explain the phrase 'three-tier architecture' with respect to databases and the ANSISPARC model.,Understand
Explain the concept of database schema and discuss three (03) types of schema in a database.,Understand
"Define the term ""database integrity"". How does database integrity differ from database security?",Analyze
 What is the difference between a procedural and non-procedural language? ,Understand 
" What is a ""data model""? Describe the relational data model by providing of an example",Understand 
" Briefly explain three (03) possible benefits of ""views"" in databases",Understand
Describe the role and content of the system catalogue in a DBMS,Understand
What is normalization? Why normalization is important?,Analyze
A company stores employee records in the format shown below. Two such employees' records are given below.,Understand
Identify the repeating group of attributes and transform the above unnormalised  0NF table into 1st Normal Form.,Apply
identify any partial dependencies and transform into 2nd Normal Form / 2NF.,Analyze 
Identify any transitive dependencies and transform into 3'd Normal Form / 3NF.,Analyze 
"Produce an Entity-Relationship Diagram of the above scenario. (State, the notation used and include in ERD, cardinality ratio, key concepts, any other sample attributes and any assumptions made, which do not contradict the discourse).",Create
Give 03 (three) different data types used in computer systems. State the main different between Analog and Digital signals.,Remember 
Convert the followings,Apply
Convert the followings fractional numbers into corresponding binary numbers. Answer can be represented up to 3 decimal points is sufficient.,Apply
Perform the following calculations using 2's complement of 8 bits,Apply
Represent the following decimal value in single precision (IEEE 32 bit standard) floating point format.,Apply
" In ASCII representation method the character 'C' can be represented as 4316, identify the ASCII code for the characters 'A' and 'E' in binary.",Remember 
 Answer the following questions based on the given Boolean expression.,Analyze 
map the Boolean expression in a karnaugh map.,Apply
Find the simplified Boolean expression in SOP (Sum of Product) format using the karnaugh map.,Analyze
Draw the logical circuit diagram using basic logic gates for simplified Boolean expression.,Create
" Get a copy of above karnaugh map, and find the simplified Boolean expression in POS (Product of Sum) format using the same karnaugh map",Apply
 Compare and contrast the combinational and sequential digital circuits. Give 03 (three) examples for each of them.,Understand
Draw the digital circuit diagram and truth table of a full adder.,Create
Differentiate CISC (Complex Instruction Set Computing) and RISC (Reduced instruction Set Computing) architectures in computer organization.,Understand 
What does it mean by serial or sequential access memory in computer memory management?,Understand
 Create a letter using MS Word as given on page number 02. Save the letter with the name letter followed by your registration number.,Apply
Perform a spell check on that document.,Apply
Replace “Your_Reg no” phrase with your own registration number at all places. Align your registration number on top of the letter to 'right' and change the font size to 16.,Apply
Insert a horizontal line under your registration number on top of the letter,Apply
Use this letter to perform a mail merge by using mail merge wizard.,Apply
Save merged letters in a single document with the name merged followed by your registration on number.,Apply
Create a template for a curriculum vita as given on page number 03. Save the document with the name cy followed by your registration number.,Create
"use table to format and use the image ""user image.jpg, given to you.",Apply
Font style -'Times New Roman'.,Apply
Font size 12 except the first title line. (font size of title line is 16).,Apply
Create the above worksheet in Microsoft Excel and save your workbook with the name marks followed by your registration number.,Apply
"Insert a new column between column D and column E, and name the column as 'Continuous'.",Apply
"In cell E2, enter a formula to calculate the marks for Continuous from Quiz and Assignment marks.",Apply
 Apply the formula by drag the cells from E3 to E9.,Apply
"In cell G1, enter the text ""Final Marks"" as the column name.",Apply
"In cell G2, enter a formula to calculate the Final Marks by getting summation of Continuous and Exam.",Apply
Sort the Student Name in alphabetical order,Apply
Insert a new row with the cell pointer at cell A1.,Apply
"Merge the cells from A1 to Hl and enter the text ""Student Mark Sheet"" in following format.",Apply
"Name the column H (In cell H2) as ""Grade"".",Apply
"In the cell H3, enter a formula for grading the student according to the Final Marks.",Apply
 Create a pivot table in a New Worksheet for Gender wise analysis using the data,Analyze
"Background color 'Yellow', Font color 'Black'.",Apply
"Company name ""MOL Company"" - align to 'center', bold, text shadow, font style 'Harrington' and font size 50",Apply
"Presentation title Income Report - 2016 below the title - align to 'center', text shadow, font style 'Calibri' and font size35.",Apply
 For Title and content layout - background color 'Green'.,Apply
Logo should be at the right side upper corner of the slide.,Apply
Use suitable transition effect between the slide changes for on click.,Apply
" Create a blank database named as “ABC Company Holdings"".",Create
 Create a table “Item” using following structure and set item code as the primary key.,Create
Add the following records to above table.,Apply
Create a table “Distribution” with suitable structure to add the following records to the same table.,Create
Create a table “Location” with the following structure.,Create
"Create a form based on the “Location” table structure and save it as “Location_form”. In the form. include the following "" buttons.",Create
"Enter following data into ""Location"" table using the above form.",Apply
"Define relationships among ""Item"""" ""Description"" and ""Location"" tables.",Analyze
Create the following Queries using Query Wizard and save thein with relevant question number.,Create
Write a parameter query to find details of item description. stored location code and the quantity for a particular location code.,Create
Display the unit price by Increasing l09zo for only imported items.,Apply
Make a new table called “imported items” to store the details of imported items form the item table using Make-Table Query.,Create
Create reports using repot wizard for the followings,Create
Create a form for the item table using form design view.,Create
Create a database named as “Hotel management System”.,Create
"Create for tables namely Hotel. Room. Booking and Guest, given in the schema above within the database created in 2(a).",Create
Insert the following records in to each table.,Apply
 List out the full details of all hotels,Understand
 List out the full details of all hotels in Colombo.,Understand
"List out the names and addresses of a1l guests in Kandy, alphabetically ordered by name.",Understand
"List out all double or single rooms with a price below 5200.00 per night, in ascending order of price.",Understand
List the bookings for which no date To has been specified.,Understand
How many hotels are there?,Understand
 What is the average price of a room?,Understand
what is the total revenue per night from al1 double rooms?,Understand
How many different guests have made booking for August?,Understand
 List the price and type of all rooms at the Cinnamon Grand.,Understand
 List all guests currently staying at the Cinnamon Grand.,Understand
List the number of rooms in each hotel.,Understand
List the number of rooms in each hotel in Colombo.,Understand
what is the average number of bookings for each hotel August?,Understand
 what is the lost income from unoccupied rooms at each hotel today?,Analyze
Prove the following functions using the algebra laws.,Apply
ln how many ways can a group of 5 men and 2 women be made out of a total of 7 men and 3 women?,Apply
"The output of a logic circuit is l, only whenever any one of the following patterns is present, such three inputs are like: 000, 001, 010. 011, and 110.",Understand
Consider the following propositional variables,Understand
Validate the equivalency of the proposition p v (q A r) and (p v q) n (p v r) using truth tables.,Evaluate
Simplify the following expressions and give the answers with rational denominators.,Apply
"Find the perimeter of a rectangle, having the length and width and respectively.",Apply
Solve the following.,Apply
Answer the questions below based on the flowing frequency table of the distribution of gas consumption of house in 100 days.,Understand
Prove the following trigonometric functions.,Apply
Differentiate with respect to x.,Apply
" Differentiate y=ax2+bx+c from first principles. This curve passes through the point (0, 1) and the gradient of the curve at the point (-1/4,7/8) is zero. Find the values of a,b and c.",Apply
Calculate the following integrals,Apply
"Find the area bound by the curve x3-1, the x axis, and the lines x=0 and x=3.",Apply
Define the programming language and list Two (02) types of programming languages with example.,Understand
"Write down the 'C' Program Structure, and define each component of the “C” program structure",Remember
Define the following terms,Remember
Describe the types of control statements,Understand
Given the following code fragment,Understand
"By, referring the following flow chart, write a C program lo calculate the net salary system.",Create
Why are comments required in a program,Understand
The program below contains errors. Find the errors and rewrite this program with the correct code,Evaluate
Carry out a program that ask user to enter the total of 100 marks and then display the letter grade and GPA based on the below diagram.,Apply
Write 'C' codes for the following,Apply
Answer the following questions based on the declaration below.,Understand
"Write down a program using C language, to enter the 10 marks. and calculate the AVERAGE and HIGHEST marks among them.",Apply
implement a C program using user defined function for the following scenario.,Apply
Write a C Program to calculate factorial of a given number using recursion.,Apply
Define Information and Communication Technology (ICT) using key technologies involved in ICT.,Understand
"Differentiate Discrete and Continuous data types, and provide two (02) suitable examples for each.",Understand
State four (04) main characteristics of information.,Remember
Provide two (02) examples for each natural system and artificial system.,Understand
Classify the computers according to the technology used.,Understand
What are high level and low level programming languages? Categorize the generations of computer programming languages with respect to high level and low level programming languages.,Understand
Differentiate compiler and interpreter in computer program translation.,Understand
What is meant by an Operating system? Write three (03) popular operating systems.,Understand
Provide five (05) features (characteristics) of operating system.,Understand
What is meant by resolution in computer graphics? State four (04) applications of computer graphics.,Understand
What does it mean by Communication software? Give one (01) example for synchronous and asynchronous communication software respectively.,Understand
What is meant by Bus in a computer system?,Understand
Briefly explain the following utilities of a computer system.,Understand
What are the three (03) types of CPU packaging?,Remember
Name four (04) expansion slots can be found on a motherboard with its full naming format.,Remember
Organize the following steps of booting process of a computer in order.,Understand
What are the two (02) main components of a chipset?,Remember
Define the following terms.,Remember
Explain following with suitable examples:,Understand
What are the benefits of a database management system over a manual system? Provide five (05) example.,Understand
explain the three tier architecture of DBMS with a clear illustration along with the mapping.,Understand
What is the difference between a candidate key and the primary key for a given relation?,Understand
What is a foreign key constraint?,Understand
Consider the following schema and answer the questions given below using relational algebraic notations.,Analyze
answer the following questions using SQL statements by referring the following relational schema. Note that the keys of the relations are underlined.,Apply
State four (04) different number representation system with their base values.,Remember
Differentiate Analog and Digital signals using suitable graphs.,Understand
Convert the followings by considering the base values.,Apply
Perform the following binary arithmetic calculation.,Apply
Perform the following calculations in both 1's complement and 2's complement methods using 8 bits space. Show all steps clearly.,Apply
Differentiate Sum of Product (SOP) and Product of Sum (POS) standard formats of Boolean expression with suitable example.,Understand
Simplify the following Boolean expressions using laws and theorems of Boolean algebra. Show all steps with appropriate laws theorems used for simplification.,Apply
Simplify the following Boolean expressions using the Karnaugh map.,Apply
What is meant by a sequential digital circuits? Give two (02) example for sequential digital circuit.,Understand
Draw the digital circuit diagram for half adder and full adder with appropriate truth tables.,Apply
list two differences between digital computer systems and embedded systems?,Understand
"Digital signals could be categorized as synchronous and asynchronous"" Briefly explain the differences between them with the aid of a diagram.",Understand
Convert the given numbers with different bases to the given number system.,Apply
Perform the following arithmetic operations.,Apply
Prove (A.B).B=B using the method of optional products.,Apply
Piot the folioing Boolean expressions in a Venn diagram.,Apply
Using the theorem of Boolean algebra. prove the following identifies.,Apply
Construct the truth table fur the scenario. Clearly mention about any assumptions taken.,Apply
Obtain the minimal Boolean expression.,Apply
Design a logic circuit.,Create
Define the term bus.,Remember
Compare two types of bus. categorized based on the physical structure.,Understand
What is meant by interrupts?,Understand
